"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2014Q2","Mining and quarrying (B)","All employees","Euro","955.51"
"Average Weekly Earnings","2014Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Manufacturing (C)","All employees","Euro","816.31"
"Average Weekly Earnings","2014Q2","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","All employees","Euro","743.65"
"Average Weekly Earnings","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","530.57"
"Average Weekly Earnings","2014Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Transportation and storage (H)","All employees","Euro","751.95"
"Average Weekly Earnings","2014Q2","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Accommodation and food service activities (I)","All employees","Euro","318.72"
"Average Weekly Earnings","2014Q2","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Information and communication (J)","All employees","Euro","1022.39"
"Average Weekly Earnings","2014Q2","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Financial and insurance activities (K)","All employees","Euro","1039.44"
"Average Weekly Earnings","2014Q2","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Real estate activities (L)","All employees","Euro","577.86"
"Average Weekly Earnings","2014Q2","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Professional, scientific and technical activities (M)","All employees","Euro","780.74"
"Average Weekly Earnings","2014Q2","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Administrative and support service activities (N)","All employees","Euro","489.34"
"Average Weekly Earnings","2014Q2","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Public administration and defence; compulsory social security (O)","All employees","Euro","927.86"
"Average Weekly Earnings","2014Q2","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Education (P)","All employees","Euro","790.23"
"Average Weekly Earnings","2014Q2","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Human health and social work activities (Q)","All employees","Euro","678.05"
"Average Weekly Earnings","2014Q2","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment and recreation (R)","All employees","Euro","501.93"
"Average Weekly Earnings","2014Q2","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Other service activities (S)","All employees","Euro","440.04"
"Average Weekly Earnings","2014Q2","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Industry (B to E)","All employees","Euro","847.34"
"Average Weekly Earnings","2014Q2","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Electricity, water supply and waste management (D,E)","All employees","Euro","1181.59"
"Average Weekly Earnings","2014Q2","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Financial, insurance and real estate activities (K,L)","All employees","Euro","992.25"
"Average Weekly Earnings","2014Q2","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","473.39"
"Average Weekly Earnings","2014Q2","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","All NACE economic sectors","All employees","Euro","676.58"
"Average Weekly Earnings","2014Q3","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Mining and quarrying (B)","All employees","Euro","982.33"
"Average Weekly Earnings","2014Q3","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Manufacturing (C)","All employees","Euro","808.67"
"Average Weekly Earnings","2014Q3","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","All employees","Euro","707.36"
"Average Weekly Earnings","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","519.44"
"Average Weekly Earnings","2014Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Transportation and storage (H)","All employees","Euro","712.93"
"Average Weekly Earnings","2014Q3","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Accommodation and food service activities (I)","All employees","Euro","320.55"
"Average Weekly Earnings","2014Q3","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Information and communication (J)","All employees","Euro","1019.08"
"Average Weekly Earnings","2014Q3","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Financial and insurance activities (K)","All employees","Euro","994.81"
"Average Weekly Earnings","2014Q3","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Real estate activities (L)","All employees","Euro","540.69"
"Average Weekly Earnings","2014Q3","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Professional, scientific and technical activities (M)","All employees","Euro","763.35"
"Average Weekly Earnings","2014Q3","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Administrative and support service activities (N)","All employees","Euro","483.92"
"Average Weekly Earnings","2014Q3","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Public administration and defence; compulsory social security (O)","All employees","Euro","911.56"
"Average Weekly Earnings","2014Q3","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Education (P)","All employees","Euro","780.71"
"Average Weekly Earnings","2014Q3","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Human health and social work activities (Q)","All employees","Euro","668.71"
"Average Weekly Earnings","2014Q3","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment and recreation (R)","All employees","Euro","479.24"
"Average Weekly Earnings","2014Q3","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Other service activities (S)","All employees","Euro","448.22"
"Average Weekly Earnings","2014Q3","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Industry (B to E)","All employees","Euro","828.06"
"Average Weekly Earnings","2014Q3","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Electricity, water supply and waste management (D,E)","All employees","Euro","1017.03"
"Average Weekly Earnings","2014Q3","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Financial, insurance and real estate activities (K,L)","All employees","Euro","943.78"
"Average Weekly Earnings","2014Q3","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","464.67"
"Average Weekly Earnings","2014Q3","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","All NACE economic sectors","All employees","Euro","702.07"
"Average Weekly Earnings","2014Q4","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Mining and quarrying (B)","All employees","Euro","894.21"
"Average Weekly Earnings","2014Q4","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Manufacturing (C)","All employees","Euro","839.98"
"Average Weekly Earnings","2014Q4","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","All employees","Euro","754.13"
"Average Weekly Earnings","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","528.96"
"Average Weekly Earnings","2014Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Transportation and storage (H)","All employees","Euro","755.91"
"Average Weekly Earnings","2014Q4","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Accommodation and food service activities (I)","All employees","Euro","320.87"
"Average Weekly Earnings","2014Q4","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Information and communication (J)","All employees","Euro","1031.33"
"Average Weekly Earnings","2014Q4","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Financial and insurance activities (K)","All employees","Euro","1145.83"
"Average Weekly Earnings","2014Q4","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Real estate activities (L)","All employees","Euro","602.26"
"Average Weekly Earnings","2014Q4","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Professional, scientific and technical activities (M)","All employees","Euro","791.55"
"Average Weekly Earnings","2014Q4","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Administrative and support service activities (N)","All employees","Euro","500"
"Average Weekly Earnings","2014Q4","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Public administration and defence; compulsory social security (O)","All employees","Euro","921.53"
"Average Weekly Earnings","2014Q4","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Education (P)","All employees","Euro","804.18"
"Average Weekly Earnings","2014Q4","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Human health and social work activities (Q)","All employees","Euro","678.89"
"Average Weekly Earnings","2014Q4","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment and recreation (R)","All employees","Euro","512.96"
"Average Weekly Earnings","2014Q4","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Other service activities (S)","All employees","Euro","467.04"
"Average Weekly Earnings","2014Q4","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Industry (B to E)","All employees","Euro","854.33"
"Average Weekly Earnings","2014Q4","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Electricity, water supply and waste management (D,E)","All employees","Euro","1048.49"
"Average Weekly Earnings","2014Q4","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Financial, insurance and real estate activities (K,L)","All employees","Euro","1070.65"
"Average Weekly Earnings","2014Q4","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","491.2"
"Average Weekly Earnings","2014Q4","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","All NACE economic sectors","All employees","Euro","701.11"
"Average Weekly Earnings","2015Q1","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Mining and quarrying (B)","All employees","Euro","923.98"
"Average Weekly Earnings","2015Q1","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Manufacturing (C)","All employees","Euro","839.51"
"Average Weekly Earnings","2015Q1","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","All employees","Euro","695.27"
"Average Weekly Earnings","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","532.36"
"Average Weekly Earnings","2015Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Transportation and storage (H)","All employees","Euro","731.16"
"Average Weekly Earnings","2015Q1","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Accommodation and food service activities (I)","All employees","Euro","307.36"
"Average Weekly Earnings","2015Q1","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Information and communication (J)","All employees","Euro","1101.32"
"Average Weekly Earnings","2015Q1","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Financial and insurance activities (K)","All employees","Euro","1150.37"
