"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q1","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro","396.59"
"Average Weekly Earnings","2008Q1","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro","355.49"
"Average Weekly Earnings","2008Q2","All NACE economic sectors","All employees","Euro","705.28"
"Average Weekly Earnings","2008Q2","All NACE economic sectors","Managers, professionals and associated professionals","Euro","1105.34"
"Average Weekly Earnings","2008Q2","All NACE economic sectors","Clerical, sales and service employees","Euro","504.82"
"Average Weekly Earnings","2008Q2","All NACE economic sectors","Production, transport, craft and other manual workers","Euro","554.23"
"Average Weekly Earnings","2008Q2","Mining and quarrying (B)","All employees","Euro","922.04"
"Average Weekly Earnings","2008Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro","1279.28"
"Average Weekly Earnings","2008Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro","744.96"
"Average Weekly Earnings","2008Q2","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro","865.3"
"Average Weekly Earnings","2008Q2","Manufacturing (C)","All employees","Euro","750.94"
"Average Weekly Earnings","2008Q2","Manufacturing (C)","Managers, professionals and associated professionals","Euro","1148.39"
"Average Weekly Earnings","2008Q2","Manufacturing (C)","Clerical, sales and service employees","Euro","714.93"
"Average Weekly Earnings","2008Q2","Manufacturing (C)","Production, transport, craft and other manual workers","Euro","613.91"
"Average Weekly Earnings","2008Q2","Construction (F)","All employees","Euro","743.66"
"Average Weekly Earnings","2008Q2","Construction (F)","Managers, professionals and associated professionals","Euro","1193.23"
"Average Weekly Earnings","2008Q2","Construction (F)","Clerical, sales and service employees","Euro","564.46"
"Average Weekly Earnings","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Euro","662.2"
"Average Weekly Earnings","2008Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","512.62"
"Average Weekly Earnings","2008Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro","1020.04"
"Average Weekly Earnings","2008Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro","398.33"
"Average Weekly Earnings","2008Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro","459.45"
